,All,Rural,Urban
1376,32.519171749198144,44.9509409907493,28.253492859325153
1377,33.973269336082524,46.43468346269433,29.601826930508828
1378,32.38849696162883,43.60648417033307,28.396472345259433
1379,30.732005904784305,41.605081799431794,26.931023133365457
1380,28.322865727783007,40.30398743329665,24.359003908259538
1381,28.42777461310263,40.28043992043543,24.476589876935655
1382,28.622364806439453,39.12467742021437,25.039584866657645
1383,28.020170618097367,37.76738278196958,24.548857744759026
1384,26.121818416609532,37.15294864804054,22.96975532520208
1385,24.878136883977522,36.314607616219405,21.680971461290262
1386,24.803165703583037,36.39888172504581,21.6361733592582
1387,24.9935975366454,37.778179113552135,22.01809346381185
1388,24.46012945397431,35.97427911970905,21.893262344020943
1389,25.03667773315219,37.398246452072144,22.370835930933545
1390,27.05419729077955,38.757043796216664,24.30574239385459
1391,29.42823029292965,41.70006500941202,26.623117845915395
1392,29.14230064780505,42.67940967779579,26.091047672956407
1393,27.029888535867258,40.56682080931026,24.204499634208336
1394,25.86839903841725,38.78217805741455,23.33724499880906
1395,25.352704364497463,37.651736167904026,23.00879822696851
1396,24.930043354866278,36.66181577336486,22.884102051288195
1397,25.431645303762153,36.80577467597415,23.465101020076137
1398,26.268136325602814,38.600311214192715,24.16111312690166
1399,27.353832116058463,39.09705818540334,25.38179355636775
1400,28.046117341248777,39.105855750880295,26.189695711433536
1401,28.951177341780106,40.62627133616521,26.979765514866898
