Decile,Income
1,28.139700696366166
2,60.725178625316225
3,82.60644589560954
4,100.27829202305077
5,117.55495634020478
6,136.75188761412295
7,159.13287047276205
8,189.12493578494426
9,236.50334297938653
10,395.09536247826316
